state_code,lga_name,administrative_type,external_id
KT,Jibia,lga,INEC-CVR:1449
KT,Kafur,lga,INEC-CVR:1450
KT,Kaita,lga,INEC-CVR:1451
KT,Kankara,lga,INEC-CVR:1452
KT,Kankia,lga,INEC-CVR:1453
KT,Katsina,lga,INEC-CVR:1454
KT,Kurfi,lga,INEC-CVR:1455
KT,Kusada,lga,INEC-CVR:1456
KT,Mai'adua,lga,INEC-CVR:1457
KT,Malufashi,lga,INEC-CVR:1458
KT,Mani,lga,INEC-CVR:1459
KT,Mashi,lga,INEC-CVR:1460
KT,Matazu,lga,INEC-CVR:1461
KT,Musawa,lga,INEC-CVR:1462
KT,Rimi,lga,INEC-CVR:1463
KT,Sabuwa,lga,INEC-CVR:1464
KT,Safana,lga,INEC-CVR:1465
KT,Sandamu,lga,INEC-CVR:1466
KT,Zango,lga,INEC-CVR:1467
KE,Aliero,lga,INEC-CVR:1469
KE,Arewa,lga,INEC-CVR:1470
KE,Argungu,lga,INEC-CVR:1471
KE,Augie,lga,INEC-CVR:1472
KE,Bagudo,lga,INEC-CVR:1473
KE,"Birnin Kebbi",lga,INEC-CVR:1474
KE,Bunza,lga,INEC-CVR:1475
KE,Dandi,lga,INEC-CVR:1476
KE,Fakai,lga,INEC-CVR:1477
KE,Gwandu,lga,INEC-CVR:1478
KE,Jega,lga,INEC-CVR:1479
KE,Kalgo,lga,INEC-CVR:1480
KE,Koko/Besse,lga,INEC-CVR:1481
KE,Maiyama,lga,INEC-CVR:1482
KE,Ngaski,lga,INEC-CVR:1483
KE,Sakaba,lga,INEC-CVR:1484
KE,Shanga,lga,INEC-CVR:1485
KE,Suru,lga,INEC-CVR:1486
KE,Wasagu/Danko,lga,INEC-CVR:1487
KE,Yauri,lga,INEC-CVR:1488
KE,Zuru,lga,INEC-CVR:1489
KO,Adavi,lga,INEC-CVR:1491
KO,Ajaokuta,lga,INEC-CVR:1492
KO,Ankpa,lga,INEC-CVR:1493
KO,Bassa,lga,INEC-CVR:1494
KO,Dekina,lga,INEC-CVR:1495
KO,Ibaji,lga,INEC-CVR:1496
KO,Idah,lga,INEC-CVR:1497
KO,Igalamela/Odolu,lga,INEC-CVR:1498
KO,Ijumu,lga,INEC-CVR:1499
KO,Kabba/Bunu,lga,INEC-CVR:1500
KO,"Kogi . K. K.",lga,INEC-CVR:1501
KO,Lokoja,lga,INEC-CVR:1502
KO,"Mopa Moro",lga,INEC-CVR:1503
KO,Ofu,lga,INEC-CVR:1504
KO,"Ogori Mangogo",lga,INEC-CVR:1505
KO,Okehi,lga,INEC-CVR:1506
KO,Okene,lga,INEC-CVR:1507
